addr,size,name,is_thunk,xref_count,calls_out,status
00401070,73,FUN_00401070,false,4,3,RAW-src
004010c0,23,FUN_004010c0,false,165,1,RAW-src
004010e0,24,FUN_004010e0,false,1,0,RAW-src
00401100,78,FUN_00401100,false,1,1,RAW-src
00401180,47,FUN_00401180,false,1,1,RAW-src
004011b0,70,FUN_004011b0,false,1,3,RAW-src
00401200,329,FUN_00401200,false,0,7,RAW-src
00401350,20,FUN_00401350,false,1,0,RAW-src
00401370,203,FUN_00401370,false,2,1,RAW-src
00401440,463,LoadButtonDefinitionFromXFS,false,1,5,RAW-src
00401610,52,FUN_00401610,false,1,1,RAW-src
00401650,199,FUN_00401650,false,5,1,RAW-src
00401740,130,AppendPersistentButtonName,false,432,1,RAW-src
004017d0,69,FindPreloadedTextureByName,false,82,1,RAW-src
00401820,96,FUN_00401820,false,2,3,RAW-src
00401880,129,FUN_00401880,false,1,3,RAW-src
00401910,315,FUN_00401910,false,1,3,RAW-src
00401a50,31,FUN_00401a50,false,1,2,RAW-src
00401a70,317,FUN_00401a70,false,2,5,RAW-src
00401bb0,80,FUN_00401bb0,false,7,1,RAW-src
00401c10,59,FUN_00401c10,false,3,0,RAW-src
00401c50,93,FUN_00401c50,false,1,1,RAW-src
00401cb0,33,FUN_00401cb0,false,1,0,RAW-src
00401ce0,104,FUN_00401ce0,false,1,0,RAW-src
00401d50,398,FUN_00401d50,false,5,4,RAW-src
00401ee0,191,FUN_00401ee0,false,7,4,RAW-src
00401fa0,125,FUN_00401fa0,false,4,1,RAW-src
00402020,63,FUN_00402020,false,1,0,RAW-src
00402060,238,FUN_00402060,false,1,0,RAW-src
00402160,72,FUN_00402160,false,1,0,RAW-src
004021b0,239,FUN_004021b0,false,1,0,RAW-src
004022b0,66,FUN_004022b0,false,1,0,RAW-src
00402300,169,FUN_00402300,false,1,4,RAW-src
004023b0,77,FUN_004023b0,false,1,1,RAW-src
00402400,229,FUN_00402400,false,3,5,RAW-src
004024f0,236,FUN_004024f0,false,5,4,RAW-src
004025e0,182,FUN_004025e0,false,3,5,RAW-src
004026a0,122,FUN_004026a0,false,14,1,RAW-src
00402720,472,FUN_00402720,false,2,7,RAW-src
00402900,453,FUN_00402900,false,1,7,RAW-src
00402ad0,539,FUN_00402ad0,false,1,9,RAW-src
00402cf0,358,FUN_00402cf0,false,1,7,RAW-src
00402e60,401,FUN_00402e60,false,1,7,RAW-src
00403000,354,FUN_00403000,false,2,2,RAW-src
00403170,244,FUN_00403170,false,2,5,RAW-src
00403270,75,FUN_00403270,false,1,1,RAW-src
004032c0,1447,FUN_004032c0,false,1,13,RAW-src
00403ae0,285,FUN_00403ae0,false,1,6,RAW-src
00403d20,231,FUN_00403d20,false,1,5,RAW-src
00403f30,186,FUN_00403f30,false,1,0,RAW-src
00404330,223,FUN_00404330,false,1,5,RAW-src
00404410,726,FUN_00404410,false,11,7,RAW-src
00404700,392,FUN_00404700,false,3,5,RAW-src
00404890,31,FUN_00404890,false,1,0,RAW-src
004048e0,185,FUN_004048e0,false,1,4,RAW-src
004049a0,346,FUN_004049a0,false,2,3,RAW-src
00404b00,136,FUN_00404b00,false,16,2,RAW-src
00404b90,161,FUN_00404b90,false,1,5,RAW-src
00404c40,135,FUN_00404c40,false,5,0,RAW-src
00404cd0,135,FUN_00404cd0,false,5,0,RAW-src
00404d60,111,FUN_00404d60,false,1,0,RAW-src
00404dd0,138,FUN_00404dd0,false,1,2,RAW-src
00404e60,476,FUN_00404e60,false,1,2,RAW-src
00405040,96,FUN_00405040,false,2,0,RAW-src
004050a0,96,FUN_004050a0,false,2,0,RAW-src
00405150,304,FUN_00405150,false,1,6,RAW-src
00405290,102,FUN_00405290,false,1,4,RAW-src
00405300,5,thunk_FUN_00405320,true,4,0,RAW-src
00405310,5,thunk_FUN_00405320,true,1,0,RAW-src
00405320,29,FUN_00405320,false,10,0,RAW-src
00405360,352,FUN_00405360,false,1,3,RAW-src
004054c0,72,FUN_004054c0,false,4,2,RAW-src
00405510,149,FUN_00405510,false,5,3,RAW-src
004055b0,56,FUN_004055b0,false,3,1,RAW-src
004055f0,201,FUN_004055f0,false,1,6,RAW-src
004056c0,152,FUN_004056c0,false,21,4,RAW-src
00405760,92,FUN_00405760,false,1,1,RAW-src
004057c0,73,FUN_004057c0,false,2,2,RAW-src
00405810,122,FUN_00405810,false,1,1,RAW-src
00405890,32,FUN_00405890,false,1,1,RAW-src
004058b0,10,FUN_004058b0,false,3,1,RAW-src
004058c0,98,FUN_004058c0,false,1,3,RAW-src
00405930,99,FUN_00405930,false,2,4,RAW-src
004059a0,55,FUN_004059a0,false,4,1,RAW-src
